product_id,product_name,category,price,cost,stock_quantity,reorder_level
41,PeachPuff Electronics Course 0041,Electronics,78.53,55.76,52,53
42,Navy Home Loss 0042,Home,330.07,194.74,116,83
43,Coral Home Good 0043,Home,274.67,197.76,223,97
44,DarkOliveGreen Books Language 0044,Books,487.13,233.82,627,68
45,White Beauty Station 0045,Beauty,187.51,105.01,473,24
46,Aquamarine Clothing Scientist 0046,Clothing,402.05,249.27,397,42
47,FloralWhite Books Say 0047,Books,54.08,40.56,540,29
48,DarkGreen Books National 0048,Books,86.56,40.68,825,14
49,Beige Home Truth 0049,Home,348.60,278.88,469,59
50,OrangeRed Clothing Ago 0050,Clothing,100.40,40.16,539,21
51,Chartreuse Books Capital 0051,Books,150.57,79.80,877,66
52,Ivory Clothing Talk 0052,Clothing,155.97,76.43,580,52
53,Yellow Books Me 0053,Books,472.87,208.06,825,54
54,PapayaWhip Sports West 0054,Sports,80.25,44.14,821,80
55,SeaShell Sports Evening 0055,Sports,439.67,167.07,573,85
56,Brown Books Police 0056,Books,50.35,23.66,5,12
57,Teal Electronics Teacher 0057,Electronics,263.74,179.34,367,46
58,MediumSlateBlue Home Our 0058,Home,454.13,281.56,832,13
59,Cyan Books Maintain 0059,Books,74.15,31.14,484,26
60,Ivory Books But 0060,Books,145.93,89.02,282,26
61,SlateBlue Electronics Painting 0061,Electronics,27.96,14.26,30,89
62,Tomato Home Focus 0062,Home,92.46,58.25,306,52
63,CornflowerBlue Beauty Plan 0063,Beauty,159.29,55.75,157,56
64,Gold Beauty Artist 0064,Beauty,271.93,171.32,514,89
65,Moccasin Beauty Beautiful 0065,Beauty,241.62,94.23,875,77
66,MediumBlue Sports Statement 0066,Sports,155.10,65.14,982,55
67,DeepSkyBlue Home Bad 0067,Home,182.79,115.16,668,47
68,Gold Clothing Paper 0068,Clothing,416.02,183.05,29,87
69,SkyBlue Electronics Rather 0069,Electronics,254.97,178.48,791,31
70,Yellow Books Person 0070,Books,257.07,169.67,746,23
71,Plum Clothing Today 0071,Clothing,11.63,6.28,937,38
72,LightSteelBlue Clothing Growth 0072,Clothing,228.72,114.36,733,75
73,LightSlateGray Home Month 0073,Home,419.34,251.60,115,25
74,Red Sports Light 0074,Sports,432.03,181.45,613,9
75,RoyalBlue Clothing Recent 0075,Clothing,48.90,22.00,600,88
76,Olive Sports These 0076,Sports,117.39,66.91,440,65
77,PaleGreen Home Drive 0077,Home,34.01,11.90,155,86
78,LightSkyBlue Beauty Interesting 0078,Beauty,473.71,198.96,350,93
79,Moccasin Electronics Thus 0079,Electronics,141.35,73.50,722,47
80,MistyRose Books Church 0080,Books,101.09,61.66,81,72
81,Silver Clothing May 0081,Clothing,196.36,72.65,374,94
82,OliveDrab Home Begin 0082,Home,338.96,210.16,238,35
83,Aqua Clothing Medical 0083,Clothing,201.24,146.91,921,35
84,LightYellow Home Ahead 0084,Home,202.52,115.44,468,63
85,Sienna Electronics Level 0085,Electronics,399.18,303.38,445,71
86,DarkBlue Home Police 0086,Home,296.03,186.50,782,45
87,Turquoise Sports Fact 0087,Sports,263.62,166.08,110,26
88,Linen Sports Save 0088,Sports,417.27,317.13,523,76
89,Chartreuse Sports Senior 0089,Sports,212.12,118.79,645,54
90,LightSteelBlue Home Push 0090,Home,175.03,68.26,671,62
91,FloralWhite Home Spend 0091,Home,373.46,272.63,267,48
92,LightCyan Books Much 0092,Books,173.47,102.35,338,56
93,AliceBlue Home Bill 0093,Home,58.63,45.73,3,48
94,DarkOliveGreen Beauty Out 0094,Beauty,455.87,328.23,225,5
95,CadetBlue Home Within 0095,Home,213.22,81.02,877,21
96,OldLace Clothing Clearly 0096,Clothing,423.11,207.32,914,90
97,Snow Sports Thousand 0097,Sports,313.91,210.32,919,72
98,OliveDrab Sports Build 0098,Sports,251.58,90.57,243,16
99,DeepPink Sports Its 0099,Sports,172.88,82.98,914,81
100,IndianRed Books Set 0100,Books,46.80,31.82,996,79
101,MediumTurquoise Home Simply 0101,Home,304.74,164.56,742,33
102,HotPink Electronics Position 0102,Electronics,242.19,125.94,452,59
103,Snow Home Part 0103,Home,436.85,323.27,235,5
104,LightSeaGreen Clothing Group 0104,Clothing,44.47,35.58,462,79
105,SandyBrown Beauty Win 0105,Beauty,427.06,264.78,762,80
106,DeepPink Sports Set 0106,Sports,86.63,43.32,988,88
107,Peru Books Important 0107,Books,207.81,108.06,778,68
108,LightSteelBlue Home He 0108,Home,0.00,0.00,102,72
109,Crimson Home Provide 0109,Home,156.37,101.64,713,31
110,Wheat Home Cup 0110,Home,235.47,127.15,462,70
111,MediumOrchid Sports Capital 0111,Sports,370.04,284.93,168,97
112,Green Electronics Sure 0112,Electronics,248.01,94.24,884,89
113,Crimson Sports Either 0113,Sports,146.21,99.42,514,9
114,Violet Beauty Section 0114,Beauty,20.01,9.00,320,96
115,Salmon Home Last 0115,Home,241.14,139.86,656,72
116,DarkViolet Books Up 0116,Books,46.39,25.51,377,79
117,DarkGoldenRod Books New 0117,Books,88.50,49.56,70,42
118,DarkSeaGreen Electronics Fact 0118,Electronics,92.94,60.41,529,66
119,Indigo Electronics Tree 0119,Electronics,414.11,231.90,46,62
120,LightSteelBlue Home Tough 0120,Home,116.68,53.67,331,89
121,Silver Clothing Produce 0121,Clothing,178.20,90.88,436,52
122,Khaki Beauty Discussion 0122,Beauty,82.97,34.02,865,100
123,NavajoWhite Books History 0123,Books,326.79,143.79,431,61
124,DeepSkyBlue Clothing Sure 0124,Clothing,276.14,218.15,975,67
125,Orange Books Son 0125,Books,142.43,76.91,603,10
126,OldLace Electronics Building 0126,Electronics,13.54,8.94,202,5
127,MediumOrchid Home Suffer 0127,Home,257.30,180.11,561,99
128,PaleGreen Books Three 0128,Books,328.61,190.59,910,82
129,CadetBlue Electronics Opportunity 0129,Electronics,431.35,254.50,385,95
130,Magenta Beauty Support 0130,Beauty,218.51,126.74,238,33
131,CornflowerBlue Sports Defense 0131,Sports,477.44,310.34,618,87
132,AntiqueWhite Home Artist 0132,Home,477.13,281.51,855,74
133,AntiqueWhite Clothing Indicate 0133,Clothing,323.71,152.14,798,8
134,Turquoise Clothing Her 0134,Clothing,92.05,37.74,826,97
135,MediumOrchid Beauty Else 0135,Beauty,199.61,141.72,63,99
136,Peru Books Tax 0136,Books,32.02,23.37,138,92
137,Coral Home Week 0137,Home,189.52,87.18,619,64
138,LightSeaGreen Home Born 0138,Home,493.75,340.69,663,71
139,DarkOrange Sports Material 0139,Sports,454.13,204.36,485,66
140,FloralWhite Sports Hotel 0140,Sports,473.52,293.58,793,60
141,IndianRed Home Soon 0141,Home,326.27,185.97,644,10
142,PeachPuff Home Fact 0142,Home,74.15,50.42,309,72
143,FloralWhite Books Summer 0143,Books,254.78,135.03,326,96
144,DarkKhaki Books Already 0144,Books,0.00,0.00,452,66
145,LightCoral Beauty All 0145,Beauty,470.99,277.88,768,100
146,FloralWhite Sports Cell 0146,Sports,53.75,18.81,814,26
147,Red Clothing Firm 0147,Clothing,197.93,91.05,7,19
148,Navy Home Occur 0148,Home,7.83,5.25,85,70
149,LavenderBlush Home Tonight 0149,Home,483.69,266.03,119,30
150,Aquamarine Books Class 0150,Books,152.77,79.44,537,6
151,PaleGoldenRod Clothing One 0151,Clothing,72.76,57.48,234,52
152,PaleTurquoise Clothing Little 0152,Clothing,183.64,132.22,1000,83
153,SteelBlue Clothing Realize 0153,Clothing,376.33,199.45,273,71
154,MistyRose Beauty Window 0154,Beauty,287.21,155.09,926,13
155,Coral Beauty Top 0155,Beauty,6.82,5.12,88,9
156,SkyBlue Books Drop 0156,Books,94.93,46.52,623,39
157,DarkRed Books Including 0157,Books,139.19,52.89,244,96
158,DarkTurquoise Electronics Experience 0158,Electronics,377.45,271.76,266,59
159,Red Home Read 0159,Home,30.63,15.93,354,93
160,MediumPurple Clothing Side 0160,Clothing,180.17,126.12,7,51
161,DarkTurquoise Clothing Air 0161,Clothing,241.20,156.78,156,10
162,CadetBlue Books I 0162,Books,160.88,114.22,466,49
163,GreenYellow Home First 0163,Home,495.47,386.47,581,66
164,OliveDrab Sports Might 0164,Sports,122.68,84.65,178,68
165,DarkViolet Books Small 0165,Books,103.71,74.67,73,86
166,Aqua Clothing Work 0166,Clothing,142.91,97.18,257,23
167,Linen Books Whole 0167,Books,252.64,149.06,656,16
168,LightGray Beauty Sell 0168,Beauty,187.13,127.25,109,43
169,MediumSpringGreen Beauty Effort 0169,Beauty,400.24,156.09,809,15
170,IndianRed Sports Project 0170,Sports,80.37,40.18,733,22
171,OrangeRed Sports Budget 0171,Sports,327.84,190.15,928,68
172,DimGray Sports Many 0172,Sports,159.88,97.53,782,76
173,DarkRed Clothing Place 0173,Clothing,66.31,35.81,495,66
174,Blue Clothing Reduce 0174,Clothing,180.66,133.69,284,88
175,CornflowerBlue Clothing Common 0175,Clothing,186.85,89.69,147,30
176,PapayaWhip Sports Congress 0176,Sports,467.86,229.25,738,89
177,MediumTurquoise Clothing Law 0177,Clothing,212.52,131.76,241,100
178,Sienna Beauty Drive 0178,Beauty,349.63,220.27,6,14
179,Brown Beauty According 0179,Beauty,484.84,261.81,272,7
180,DeepPink Clothing Protect 0180,Clothing,478.70,215.42,310,40
181,DarkRed Books Guess 0181,Books,391.95,164.62,959,95
182,Brown Clothing Detail 0182,Clothing,448.37,264.54,530,71
183,LightSalmon Sports Season 0183,Sports,449.29,247.11,664,80
184,MediumSeaGreen Sports Girl 0184,Sports,378.69,204.49,501,34
185,DarkViolet Books Share 0185,Books,422.52,316.89,239,78
186,PaleTurquoise Home Base 0186,Home,480.53,336.37,566,81
187,Wheat Books She 0187,Books,489.74,367.30,949,24
188,LightSteelBlue Beauty Answer 0188,Beauty,71.02,53.98,133,67
189,Moccasin Books School 0189,Books,34.22,23.95,762,68
190,LemonChiffon Electronics Mr 0190,Electronics,0.00,0.00,908,45
191,Pink Books Early 0191,Books,135.16,63.53,792,89
192,LawnGreen Sports Safe 0192,Sports,42.10,20.63,750,29
193,Lime Clothing Piece 0193,Clothing,291.87,218.90,264,43
194,LavenderBlush Sports Despite 0194,Sports,53.98,26.99,202,84
195,LimeGreen Electronics Health 0195,Electronics,143.99,74.87,989,73
196,Salmon Sports Wear 0196,Sports,99.31,67.53,127,6
197,SaddleBrown Books Throw 0197,Books,171.98,73.95,317,94
198,Aquamarine Home Plant 0198,Home,461.44,369.15,972,73
199,PowderBlue Electronics Soon 0199,Electronics,377.12,139.53,841,18
200,Tomato Books Congress 0200,Books,438.36,439.36,295,47
201,Red Books Live 0201,Books,5.28,3.75,156,89
202,MediumAquaMarine Beauty Last 0202,Beauty,29.58,16.86,69,62
203,Orchid Home Wish 0203,Home,131.91,65.96,280,97
204,RoyalBlue Books Box 0204,Books,484.45,218.00,478,22
205,FloralWhite Sports Meeting 0205,Sports,468.76,346.88,345,35
206,Teal Clothing Option 0206,Clothing,342.84,143.99,192,25
207,Purple Home Four 0207,Home,375.42,191.46,458,87
208,MediumSeaGreen Home Professor 0208,Home,97.80,34.23,226,48
209,Orange Sports Study 0209,Sports,449.24,188.68,369,66
210,GoldenRod Electronics Event 0210,Electronics,446.03,156.11,765,64
211,Crimson Clothing Reality 0211,Clothing,469.01,470.01,219,23
212,RoyalBlue Beauty Dinner 0212,Beauty,153.54,93.66,622,22
213,LightGoldenRodYellow Clothing Group 0213,Clothing,340.15,119.05,179,68
214,MediumSpringGreen Books Even 0214,Books,38.67,16.63,112,60
215,Olive Sports Give 0215,Sports,275.86,162.76,610,28
216,PaleGreen Home Consider 0216,Home,468.14,360.47,531,15
217,Cyan Electronics Right 0217,Electronics,487.74,346.30,934,26
218,AliceBlue Clothing Guess 0218,Clothing,457.94,251.87,339,82
219,Indigo Clothing Yourself 0219,Clothing,259.04,158.01,999,89
220,AliceBlue Beauty Community 0220,Beauty,220.63,92.66,493,61
221,MediumAquaMarine Books Approach 0221,Books,143.91,67.64,568,13
222,DarkSalmon Home Professional 0222,Home,8.99,3.51,655,8
223,Khaki Beauty Walk 0223,Beauty,106.95,41.71,709,20
224,RosyBrown Beauty Market 0224,Beauty,496.27,297.76,999,58
225,SteelBlue Electronics Water 0225,Electronics,348.57,261.43,938,54
226,Violet Clothing Make 0226,Clothing,295.89,224.88,323,52
227,OldLace Home Suddenly 0227,Home,331.89,116.16,437,53
228,Azure Home Economy 0228,Home,233.32,84.00,799,20
229,DarkCyan Electronics Light 0229,Electronics,211.61,137.55,299,84
230,LightCyan Electronics Significant 0230,Electronics,23.27,8.61,367,70
231,GreenYellow Sports Walk 0231,Sports,342.61,243.25,997,31
232,LightSalmon Beauty Attack 0232,Beauty,406.22,320.91,659,98
233,Turquoise Electronics Party 0233,Electronics,350.50,351.50,451,91
234,DeepPink Books Lot 0234,Books,348.01,125.28,939,92
235,Linen Clothing Share 0235,Clothing,166.88,95.12,892,41
236,Indigo Clothing Agency 0236,Clothing,436.32,244.34,380,49
237,MistyRose Books Student 0237,Books,202.64,89.16,495,81
238,LightGreen Electronics Letter 0238,Electronics,126.48,82.21,499,97
239,Peru Books Catch 0239,Books,28.62,18.32,522,29
240,Khaki Electronics Above 0240,Electronics,19.34,6.96,534,6
241,Chocolate Electronics Trial 0241,Electronics,0.00,0.00,597,17
242,RoyalBlue Home Particularly 0242,Home,169.79,88.29,323,50
243,PowderBlue Clothing Size 0243,Clothing,186.57,65.30,917,39
244,PaleVioletRed Books Capital 0244,Books,67.93,32.61,975,81
245,LemonChiffon Clothing Reality 0245,Clothing,470.14,197.46,523,29
246,Lime Books For 0246,Books,219.91,158.34,718,96
247,LightGreen Home Soon 0247,Home,357.73,128.78,503,78
248,SpringGreen Electronics Chance 0248,Electronics,32.14,21.21,34,92
249,GoldenRod Clothing Go 0249,Clothing,447.92,344.90,966,87
250,DarkGreen Electronics Next 0250,Electronics,386.93,162.51,268,95
251,GoldenRod Beauty During 0251,Beauty,85.34,46.08,435,51
252,Sienna Books Same 0252,Books,285.13,142.56,745,14
253,HoneyDew Clothing Century 0253,Clothing,71.96,36.70,941,98
254,MidnightBlue Books Fire 0254,Books,211.24,103.51,804,87
255,RoyalBlue Electronics Must 0255,Electronics,482.09,216.94,337,99
256,OldLace Sports Why 0256,Sports,81.45,56.20,796,8
257,FireBrick Clothing Thing 0257,Clothing,188.54,65.99,555,80
258,AntiqueWhite Beauty Hospital 0258,Beauty,213.68,96.16,570,90
259,Chartreuse Home Treat 0259,Home,475.43,256.73,915,10
260,PaleVioletRed Home Themselves 0260,Home,383.21,298.90,941,36
261,IndianRed Clothing Nearly 0261,Clothing,64.16,24.38,860,24
262,SteelBlue Books Always 0262,Books,81.03,32.41,527,18
263,Beige Sports Top 0263,Sports,392.20,164.72,455,25
264,DodgerBlue Sports Form 0264,Sports,54.76,35.05,735,11
265,LemonChiffon Books Here 0265,Books,84.05,43.71,166,90
266,Moccasin Beauty Put 0266,Beauty,182.53,129.60,218,20
267,Violet Books Factor 0267,Books,384.69,138.49,998,52
268,Coral Electronics Forward 0268,Electronics,164.68,92.22,296,85
269,NavajoWhite Beauty Trial 0269,Beauty,31.19,23.08,119,59
270,MintCream Books Care 0270,Books,324.96,181.98,274,63
271,MediumPurple Home Authority 0271,Home,148.64,92.16,620,62
272,LightSteelBlue Electronics American 0272,Electronics,372.41,279.31,417,96
273,DarkSlateBlue Clothing Simply 0273,Clothing,266.78,194.75,811,93
274,Sienna Books Nation 0274,Books,462.62,370.10,1000,99
275,SkyBlue Electronics Another 0275,Electronics,406.36,178.80,321,60
276,MediumPurple Electronics Answer 0276,Electronics,476.43,347.79,527,40
277,RosyBrown Home Data 0277,Home,274.86,140.18,247,52
278,FloralWhite Home Cultural 0278,Home,47.70,28.62,992,20
279,MediumBlue Home Young 0279,Home,491.66,295.00,506,76
280,LightGray Home Wear 0280,Home,227.22,140.88,903,85
281,LightCyan Books Last 0281,Books,206.84,76.53,811,83
282,Navy Books One 0282,Books,37.02,25.17,824,67
283,DarkOrchid Home Bit 0283,Home,104.13,45.82,348,73
284,LightYellow Home Military 0284,Home,424.85,242.16,88,37
285,DarkTurquoise Electronics Know 0285,Electronics,431.52,168.29,883,77
286,Red Clothing Security 0286,Clothing,487.00,365.25,903,87
287,PaleVioletRed Beauty Role 0287,Beauty,187.51,91.88,268,17
288,SlateGray Books Feel 0288,Books,314.70,248.61,787,41
289,HoneyDew Clothing Floor 0289,Clothing,59.86,35.92,221,56
290,BlueViolet Home Building 0290,Home,114.76,78.04,445,54
291,Aquamarine Electronics Military 0291,Electronics,83.86,55.35,978,64
292,Gray Electronics Sport 0292,Electronics,85.42,55.52,523,50
293,AliceBlue Clothing Charge 0293,Clothing,447.18,326.44,318,73
294,OliveDrab Electronics Onto 0294,Electronics,180.29,137.02,828,25
295,LightGoldenRodYellow Beauty Will 0295,Beauty,217.15,119.43,462,96
296,Snow Home Hold 0296,Home,460.09,280.65,737,9
297,BlanchedAlmond Beauty Rather 0297,Beauty,497.31,293.41,108,22
298,Olive Clothing However 0298,Clothing,425.11,225.31,389,62
299,WhiteSmoke Beauty Gas 0299,Beauty,132.60,100.78,21,20
300,Moccasin Electronics Early 0300,Electronics,126.76,78.59,294,100
301,Indigo Home Idea 0301,Home,155.82,59.21,80,30
302,Silver Electronics Pm 0302,Electronics,416.44,145.75,920,93
303,Ivory Sports Service 0303,Sports,228.26,134.67,415,84
304,Olive Books Thing 0304,Books,107.13,37.50,257,100
305,Yellow Clothing Safe 0305,Clothing,65.37,30.07,665,48
306,SlateBlue Books Debate 0306,Books,419.64,205.62,354,17
307,Bisque Books Red 0307,Books,212.74,112.75,755,60
308,DarkSlateBlue Home Throughout 0308,Home,236.03,96.77,310,93
309,DarkGreen Home Surface 0309,Home,135.60,78.65,489,47
310,Lime Electronics Own 0310,Electronics,65.52,33.42,886,33
311,Chocolate Electronics Step 0311,Electronics,395.86,197.93,719,100
312,LightCyan Home Analysis 0312,Home,135.47,54.19,635,75
313,DarkSlateBlue Sports Rich 0313,Sports,105.21,54.71,79,89
314,DarkViolet Clothing Father 0314,Clothing,195.00,136.50,948,5
315,Fuchsia Clothing Point 0315,Clothing,435.19,343.80,316,22
316,SandyBrown Electronics Difference 0316,Electronics,330.40,241.19,713,100
317,WhiteSmoke Clothing Raise 0317,Clothing,233.07,130.52,94,62
318,Turquoise Sports Try 0318,Sports,29.58,20.71,888,40
319,Snow Beauty Whatever 0319,Beauty,448.51,358.81,959,74
320,DimGray Electronics Matter 0320,Electronics,291.36,154.42,301,9
321,SkyBlue Sports Money 0321,Sports,160.13,88.07,34,96
322,Pink Home Stage 0322,Home,59.96,29.98,878,22
323,PowderBlue Electronics Coach 0323,Electronics,161.09,57.99,23,99
324,SlateGray Electronics Her 0324,Electronics,11.24,7.08,635,67
325,Brown Electronics Computer 0325,Electronics,272.48,117.17,945,57
326,DarkMagenta Books Yes 0326,Books,155.23,57.44,796,14
327,Turquoise Home Five 0327,Home,0.00,0.00,87,12
328,Violet Sports Hard 0328,Sports,477.13,324.45,503,6
329,Olive Home Feeling 0329,Home,218.58,168.31,555,87
330,MediumAquaMarine Clothing Send 0330,Clothing,214.16,158.48,802,61
331,LightCyan Clothing Yard 0331,Clothing,465.63,270.07,691,6
332,Salmon Electronics Age 0332,Electronics,271.69,179.32,464,62
333,Red Sports Strategy 0333,Sports,204.87,141.36,158,43
334,Silver Home Past 0334,Home,442.97,270.21,136,67
335,OldLace Books Social 0335,Books,40.53,17.02,854,98
336,Sienna Sports Bad 0336,Sports,376.01,240.65,224,65
337,AntiqueWhite Home Stuff 0337,Home,286.02,111.55,124,60
338,FireBrick Clothing Sing 0338,Clothing,188.21,146.80,119,75
339,LightYellow Electronics Significant 0339,Electronics,445.22,204.80,69,58
340,GhostWhite Sports Account 0340,Sports,421.07,422.07,251,65
341,DarkOliveGreen Books With 0341,Books,214.56,113.72,526,32
342,Gold Electronics Soon 0342,Electronics,461.71,281.64,845,47
343,AntiqueWhite Books Music 0343,Books,470.12,371.39,988,36
344,DarkBlue Beauty Thousand 0344,Beauty,401.43,248.89,361,12
345,Teal Sports Discuss 0345,Sports,224.34,177.23,230,7
346,MediumBlue Home But 0346,Home,462.21,328.17,713,75
347,Gray Clothing Write 0347,Clothing,121.00,94.38,810,7
348,Maroon Home Down 0348,Home,104.69,42.92,120,7
349,LightSalmon Home Network 0349,Home,411.29,320.81,636,19
350,Aqua Books Protect 0350,Books,496.46,377.31,73,81
351,DarkKhaki Home Safe 0351,Home,28.37,12.48,248,88
352,Khaki Home Hotel 0352,Home,37.75,24.92,101,84
353,LightPink Sports Window 0353,Sports,185.94,79.95,673,64
354,LightSlateGray Home Example 0354,Home,469.69,310.00,228,54
355,Tomato Clothing People 0355,Clothing,204.30,128.71,766,36
356,Plum Books Food 0356,Books,235.63,188.50,362,34
357,CornflowerBlue Beauty Music 0357,Beauty,300.19,204.13,812,56
358,AliceBlue Books Pull 0358,Books,41.05,26.68,113,9
359,DarkCyan Sports Alone 0359,Sports,371.69,260.18,348,92
360,LightSkyBlue Electronics They 0360,Electronics,63.62,42.63,744,67
361,DarkSlateGray Sports Spend 0361,Sports,91.39,53.01,579,30
362,Ivory Electronics Politics 0362,Electronics,206.53,97.07,325,22
363,LightPink Beauty Follow 0363,Beauty,99.55,46.79,928,11
364,GreenYellow Books Treatment 0364,Books,422.14,232.18,58,21
365,CadetBlue Home Edge 0365,Home,220.07,149.65,758,75
366,Chartreuse Sports Out 0366,Sports,298.35,149.18,798,19
367,LightGoldenRodYellow Books Language 0367,Books,324.51,159.01,244,37
368,Green Beauty Among 0368,Beauty,397.53,139.14,218,13
369,LightSeaGreen Home Half 0369,Home,332.53,246.07,959,12
370,LightGreen Sports Onto 0370,Sports,0.00,0.00,859,87
371,AntiqueWhite Beauty Here 0371,Beauty,60.63,27.89,30,10
372,MistyRose Home Situation 0372,Home,332.08,192.61,43,83
373,Silver Sports Claim 0373,Sports,116.04,81.23,571,12
374,Brown Home Guy 0374,Home,316.51,215.23,859,26
375,LavenderBlush Electronics Page 0375,Electronics,263.59,144.97,844,100
376,SaddleBrown Home Happen 0376,Home,228.89,169.38,270,55
377,DarkTurquoise Electronics Smile 0377,Electronics,145.32,63.94,667,7
378,Silver Sports Stop 0378,Sports,351.77,352.77,43,77
379,PaleVioletRed Clothing Stop 0379,Clothing,93.95,33.82,849,75
380,Fuchsia Beauty Night 0380,Beauty,395.73,193.91,167,69
381,ForestGreen Clothing Miss 0381,Clothing,57.86,40.50,679,88
382,MediumAquaMarine Clothing Team 0382,Clothing,133.09,50.57,136,30
383,DeepPink Clothing Soon 0383,Clothing,379.50,189.75,800,94
384,Cornsilk Home Push 0384,Home,260.38,106.76,211,57
385,HoneyDew Sports Near 0385,Sports,480.93,312.60,653,39
386,LightCoral Beauty Choose 0386,Beauty,131.64,80.30,605,94
387,MediumBlue Clothing Huge 0387,Clothing,158.26,56.97,754,34
388,Olive Books Put 0388,Books,288.95,289.95,951,87
389,DarkGoldenRod Sports Population 0389,Sports,318.28,124.13,187,99
390,LightSeaGreen Clothing Who 0390,Clothing,331.66,332.66,905,8
391,Turquoise Clothing Both 0391,Clothing,114.17,70.79,325,39
392,Lime Home Nation 0392,Home,423.76,254.26,698,49
393,CornflowerBlue Books Street 0393,Books,438.24,210.36,132,33
394,Cyan Clothing Later 0394,Clothing,329.53,171.36,755,81
395,DarkOrange Beauty Should 0395,Beauty,65.25,29.36,165,46
396,LavenderBlush Clothing Sense 0396,Clothing,223.19,136.15,435,44
397,DarkSlateGray Home Tree 0397,Home,385.43,289.07,562,73
398,Pink Electronics Mind 0398,Electronics,330.27,198.16,649,73
399,Navy Books What 0399,Books,46.40,36.66,385,73
400,SpringGreen Home Knowledge 0400,Home,383.15,298.86,146,81
401,LavenderBlush Electronics Investment 0401,Electronics,113.87,55.80,780,74
402,DarkGoldenRod Sports First 0402,Sports,67.49,27.00,152,55
403,SkyBlue Beauty Trial 0403,Beauty,316.60,199.46,231,24
404,Silver Sports Senior 0404,Sports,304.52,182.71,357,49
405,LightGreen Electronics Prevent 0405,Electronics,73.84,45.04,687,68
406,LightSeaGreen Home Reach 0406,Home,281.21,185.60,498,21
407,LightSeaGreen Electronics Democratic 0407,Electronics,369.35,240.08,844,57
408,DarkTurquoise Beauty Deep 0408,Beauty,312.22,134.25,251,75
409,SpringGreen Sports Seat 0409,Sports,18.36,6.79,395,36
410,Lavender Beauty Set 0410,Beauty,321.71,205.89,812,42
411,MediumAquaMarine Clothing Lead 0411,Clothing,319.78,169.48,746,52
412,LavenderBlush Sports Skin 0412,Sports,136.18,85.79,208,66
413,Violet Home Tax 0413,Home,402.79,209.45,980,91
414,Purple Electronics According 0414,Electronics,370.95,178.06,675,15
415,Cornsilk Clothing Month 0415,Clothing,485.96,247.84,262,90
416,LimeGreen Beauty Exactly 0416,Beauty,189.11,190.11,498,99
417,Azure Beauty Race 0417,Beauty,477.71,281.85,963,93
418,FloralWhite Beauty Floor 0418,Beauty,302.50,229.90,261,23
419,LightSalmon Beauty Whose 0419,Beauty,129.90,101.32,934,10
